build_id,timestamp,hour,day_of_week,repo_size_mb,num_files,test_count,dependencies,cpu_cores,memory_gb,cache_hit_rate,branch_type,build_time_minutes,status,cost_usd
build_00000,2025-08-29T09:35:17.543926,9,4,2479.01,218,35,73,4,4,0.884,release,336.17,failed,0.6723
build_00001,2025-11-22T13:35:17.543926,13,5,11026.67,912,23,39,4,16,0.298,feature,876.59,success,2.6298
build_00002,2025-11-03T00:35:17.543926,0,0,1264.82,784,125,43,2,8,0.775,main,191.63,success,0.2875
build_00003,2025-12-31T16:35:17.543926,16,2,10789.86,502,427,33,8,8,0.773,main,993.61,success,3.9745
build_00004,2025-10-17T00:35:17.543926,0,4,2848.24,162,262,60,4,32,0.54,feature,203.08,success,0.88
build_00005,2025-09-27T23:35:17.543926,23,5,14614.58,142,135,56,8,8,0.846,main,785.86,success,3.1434
build_00006,2025-08-17T00:35:17.543926,0,6,16178.22,721,212,33,2,32,0.754,feature,791.72,success,2.771
build_00007,2025-09-19T08:35:17.543926,8,4,261.64,444,474,36,4,16,0.705,feature,192.13,success,0.5764
build_00008,2025-08-21T04:35:17.543926,4,3,860.98,604,1427,46,16,32,0.938,main,165.37,success,1.5435
build_00009,2025-12-16T07:35:17.543926,7,1,44128.59,565,1586,70,2,8,0.518,feature,4505.22,success,6.7578
build_00010,2025-08-18T21:35:17.543926,21,0,1143.84,121,382,49,2,16,0.506,feature,304.23,success,0.6592
build_00011,2026-01-09T18:35:17.543926,18,4,1210.12,144,361,45,4,16,0.814,hotfix,158.52,success,0.4755
build_00012,2025-10-01T05:35:17.543926,5,2,780.49,540,62,69,2,16,0.612,hotfix,74.8,success,0.1621
build_00013,2025-11-30T21:35:17.543926,21,6,2839.44,8613,30,52,16,8,0.588,feature,252.44,success,1.8513
build_00014,2025-12-01T13:35:17.543926,13,0,2334.13,67,110,47,2,8,0.891,feature,231.85,success,0.3478
build_00015,2025-08-17T06:35:17.543926,6,6,2843.15,136,30,35,2,16,0.863,feature,174.76,success,0.3786
build_00016,2025-11-24T11:35:17.543926,11,0,127.25,1698,149,61,8,4,0.791,feature,146.98,success,0.5389
build_00017,2025-09-10T09:35:17.543926,9,2,1373.0,464,227,25,8,4,0.653,feature,238.57,failed,0.8747
build_00018,2025-08-20T00:35:17.543926,0,2,2066.21,109,13,34,2,8,0.949,main,145.44,success,0.2182
build_00019,2025-12-10T20:35:17.543926,20,2,26956.02,506,1081,38,4,4,0.829,feature,1976.07,success,3.9521
build_00020,2025-10-18T19:35:17.543926,19,5,5682.77,291,278,91,4,32,0.693,feature,298.9,success,1.2952
build_00021,2025-09-27T21:35:17.543926,21,5,26891.08,57,123,51,16,4,0.655,main,1461.8,failed,10.2326
build_00022,2025-09-25T17:35:17.543926,17,3,3922.18,631,135,23,4,16,0.778,feature,255.43,success,0.7663
build_00023,2025-12-28T11:35:17.543926,11,6,3782.44,910,710,44,8,8,0.805,feature,508.27,success,2.0331
build_00024,2025-11-23T23:35:17.543926,23,6,25300.54,286,200,47,16,8,0.842,feature,824.2,success,6.0441
build_00025,2025-11-13T06:35:17.543926,6,3,1172.07,124,253,29,8,4,0.631,feature,220.86,failed,0.8098
build_00026,2025-12-21T15:35:17.543926,15,6,293.18,395,44,43,2,4,0.626,feature,101.58,success,0.1185
