build_id,timestamp,project_name,repo_size_mb,num_files,num_dependencies,test_count,cpu_cores,memory_gb,status,build_duration_sec,cost_usd
1,2025-12-05 03:45:32.171440,api-gateway,3561,13353,485,394,2,8,SUCCESS,19491,0.9702186666666667
2,2025-09-19 03:45:32.171481,api-gateway,1038,1617,31,427,4,16,SUCCESS,4814,0.4792604444444445
3,2025-12-15 03:45:32.171485,microservice-a,4166,12585,650,102,2,8,SUCCESS,19557,0.973504
4,2026-03-03 03:45:32.171487,mobile-app,4076,10949,309,441,4,4,SUCCESS,19478,1.2639057777777778
5,2025-12-01 03:45:32.171489,mobile-app,4229,3748,779,248,2,8,FAILURE,19343,0.9628515555555555
6,2026-01-05 03:45:32.171491,web-app,1732,13240,373,214,8,4,SUCCESS,9805,1.1591688888888887
7,2026-02-25 03:45:32.171492,mobile-app,4715,11880,658,57,16,4,FAILURE,5050,1.1356888888888887
8,2025-12-05 03:45:32.171494,mobile-app,4013,1637,94,442,16,8,SUCCESS,2568,0.6071893333333334
9,2025-11-16 03:45:32.171496,microservice-a,983,14457,735,254,8,8,SUCCESS,5054,0.655896888888889
10,2026-01-02 03:45:32.171497,mobile-app,3648,13468,580,329,8,4,SUCCESS,9871,1.1669715555555555
11,2025-12-20 03:45:32.171499,api-gateway,3283,3237,610,326,16,16,SUCCESS,1362,0.3535146666666667
12,2025-11-21 03:45:32.171501,microservice-a,2030,7085,460,422,8,32,SUCCESS,1401,0.2789546666666667
13,2025-12-08 03:45:32.171503,microservice-a,1905,197,260,304,4,4,SUCCESS,19197,1.245672
14,2025-12-04 03:45:32.171504,web-app,3106,11507,173,137,2,8,SUCCESS,19464,0.9688746666666666
15,2025-10-17 03:45:32.171506,mobile-app,842,14291,115,353,16,8,SUCCESS,2689,0.6357991111111111
16,2025-11-07 03:45:32.171508,web-app,841,12822,745,291,8,16,SUCCESS,2642,0.4039324444444445
17,2025-10-19 03:45:32.171509,api-gateway,1859,13024,313,26,4,32,SUCCESS,2636,0.3842702222222222
18,2026-01-24 03:45:32.171511,microservice-a,2305,3850,228,80,16,4,FAILURE,4898,1.1015057777777777
19,2026-03-16 03:45:32.171513,microservice-a,3660,11449,362,278,8,4,FAILURE,9905,1.170991111111111
20,2025-12-20 03:45:32.171514,microservice-a,1657,12975,107,334,16,32,SUCCESS,852,0.2605226666666667
21,2025-10-11 03:45:32.171516,api-gateway,1034,8635,795,291,8,4,SUCCESS,9803,1.1589324444444442
22,2026-02-08 03:45:32.171517,api-gateway,3726,8274,409,314,16,32,SUCCESS,772,0.23606044444444443
23,2025-11-08 03:45:32.171519,web-app,3430,8203,344,460,4,8,FAILURE,9750,0.7453333333333334
24,2026-02-25 03:45:32.171521,web-app,569,5513,176,16,4,32,SUCCESS,2556,0.37260799999999994
25,2025-10-08 03:45:32.171522,web-app,640,14367,687,323,2,4,FAILURE,38715,1.4797733333333334
26,2026-01-19 03:45:32.171524,mobile-app,1100,4766,670,314,16,32,SUCCESS,727,0.22230044444444447
27,2026-02-24 03:45:32.171526,microservice-a,3683,710,652,112,2,16,SUCCESS,9761,0.7114684444444443
28,2025-12-19 03:45:32.171528,microservice-a,4494,1827,596,318,16,8,SUCCESS,2550,0.6029333333333333
29,2026-01-28 03:45:32.171529,web-app,1009,10582,638,202,8,8,FAILURE,5051,0.6555075555555555
30,2026-01-18 03:45:32.171531,microservice-a,742,1954,678,250,8,32,SUCCESS,1262,0.25127822222222224
31,2025-09-29 03:45:32.171533,web-app,3949,10900,156,71,2,4,SUCCESS,38695,1.479008888888889
32,2026-03-03 03:45:32.171534,mobile-app,4523,5155,693,26,16,16,SUCCESS,1423,0.36934755555555554
33,2025-09-24 03:45:32.171536,mobile-app,2996,10371,447,180,2,8,SUCCESS,19434,0.9673813333333333
34,2026-01-26 03:45:32.171538,api-gateway,576,14826,471,34,4,8,FAILURE,9816,0.7503786666666666
35,2025-11-30 03:45:32.171539,mobile-app,3274,2424,631,260,2,4,FAILURE,38530,1.4727022222222221
36,2026-01-22 03:45:32.171541,web-app,2303,12919,160,262,2,4,SUCCESS,38698,1.4791235555555555
37,2026-01-13 03:45:32.171543,mobile-app,3394,9469,102,396,8,16,SUCCESS,2643,0.4040853333333333
38,2025-11-07 03:45:32.171544,api-gateway,4015,14818,196,216,2,32,SUCCESS,5108,0.6084195555555555
39,2026-01-26 03:45:32.171546,microservice-a,1925,9383,217,38,16,4,FAILURE,5031,1.131416
40,2025-11-03 03:45:32.171548,web-app,1813,14289,643,126,8,32,SUCCESS,1498,0.29826844444444445
41,2026-02-25 03:45:32.171549,microservice-a,570,13271,587,425,2,16,FAILURE,9846,0.7176639999999999
